X1,X2,X3,X4,X5,X6,X7,X8,Label,,,
0.060592,0.053204,0.40686,0.14188,0.10709,0.10585,0.081644,0.026415,3,,,
0.21045,0.22673,0.33931,0.28948,0.2534,0.25361,0.031725,0.014902,3,,,
0.20904,0.22159,0.29868,0.26641,0.24035,0.23936,0.021105,0.011969,3,,,
0.20056,0.31664,0.49311,0.37618,0.3482,0.34843,0.10281,0.011641,3,,,
0.20195,0.31589,0.49706,0.38662,0.35185,0.35219,0.098618,0.01358,3,,,
0.11887,0.16361,0.38513,0.21659,0.19664,0.1954,0.075188,0.012803,3,,,
0.082415,0.11095,0.19964,0.13212,0.12049,0.12122,0.027297,0.0058988,3,,,
0.084724,0.11092,0.21528,0.13276,0.12402,0.1234,0.031463,0.0051297,3,,,
0.09543,0.11198,0.22293,0.14756,0.1303,0.13056,0.027668,0.0091967,3,,,
0.21729,0.23051,0.30425,0.28768,0.25858,0.25855,0.022635,0.014594,3,,,
0.017006,0.02245,0.15031,0.043582,0.030828,0.030632,0.028301,0.006038,3,,,
0.056681,0.06477,0.15105,0.086155,0.076259,0.076472,0.019663,0.0065517,3,,,
0.10756,0.096994,0.16701,0.14756,0.12271,0.12249,0.012491,0.015133,3,,,
0.028729,0.051979,0.33616,0.067375,0.05821,0.05886,0.070327,0.0040034,3,,,
0.034934,0.07132,0.5479,0.10407,0.089912,0.086939,0.12464,0.011089,3,,,
0.18062,0.17872,0.35429,0.25565,0.21575,0.21612,0.044805,0.024125,3,,,
0.17689,0.17104,0.32235,0.25167,0.20778,0.20762,0.040322,0.024869,3,,,
0.13866,0.16442,0.21431,0.20579,0.18113,0.18178,0.023078,0.010593,3,,,
0.035546,0.064493,0.24075,0.089596,0.074643,0.076583,0.045548,0.0075378,3,,,
0.12964,0.12169,0.1709,0.17069,0.14552,0.1451,0.011357,0.010606,3,,,
0.12042,0.13039,0.19134,0.17478,0.1535,0.15232,0.019418,0.012637,3,,,
0.094952,0.12933,0.39563,0.20102,0.15619,0.15602,0.067285,0.018846,3,,,
0.15104,0.15588,0.37523,0.23547,0.19983,0.20091,0.052549,0.018873,3,,,
0.16497,0.16859,0.25645,0.25192,0.1997,0.19815,0.018852,0.021537,3,,,
0.080307,0.089872,0.18883,0.12984,0.10957,0.10977,0.027555,0.011693,3,,,
0.06064,0.089248,0.19644,0.12868,0.1074,0.10698,0.04079,0.011078,3,,,
0.069949,0.062492,0.1458,0.12103,0.084819,0.084806,0.017555,0.015121,3,,,
0.11349,0.14138,0.31642,0.19108,0.16674,0.1667,0.060241,0.013195,3,,,
0.15507,0.14347,0.25535,0.23789,0.19068,0.19083,0.023591,0.023212,3,,,
0.028353,0.044602,0.13593,0.063887,0.056097,0.056267,0.03007,0.0057323,3,,,
0.022294,0.05768,0.23354,0.12613,0.084324,0.085161,0.061809,0.021522,3,,,
0.038401,0.036742,0.1609,0.073191,0.058002,0.058017,0.032407,0.009547,3,,,
0.063943,0.068761,0.16152,0.10748,0.093036,0.092876,0.021435,0.010709,3,,,
0.12326,0.17385,0.28166,0.24285,0.20561,0.20418,0.03685,0.017333,4,,,
0.14695,0.15517,0.28232,0.25733,0.19925,0.19787,0.031454,0.023537,4,,,
0.16398,0.18311,0.2916,0.25508,0.213,0.21353,0.02634,0.016706,4,,,
0.097597,0.14251,0.26047,0.23302,0.18914,0.18935,0.037874,0.023773,4,,,
0.079445,0.11516,0.20853,0.19338,0.15513,0.15451,0.029733,0.021398,4,,,
0.12433,0.16785,0.27057,0.23743,0.20334,0.20338,0.037531,0.017708,4,,,
0.13878,0.16817,0.27979,0.24024,0.20509,0.20501,0.03022,0.019897,4,,,
0.10856,0.1594,0.27721,0.23948,0.19912,0.19864,0.040829,0.020121,4,,,
0.12881,0.17074,0.25852,0.24575,0.20766,0.20737,0.032628,0.018372,4,,,
0.26759,0.2974,0.43302,0.38093,0.33524,0.33545,0.031305,0.02265,4,,,
0.30238,0.30715,0.39603,0.37618,0.34114,0.34058,0.025804,0.019015,4,,,
0.16605,0.23705,0.3427,0.3186,0.27277,0.27244,0.045424,0.021218,4,,,
0.25411,0.2875,0.3668,0.3593,0.31663,0.31606,0.026082,0.017856,4,,,
0.15251,0.15561,0.23319,0.25299,0.18698,0.18685,0.020178,0.020153,4,,,
0.16611,0.12416,0.21217,0.24006,0.18073,0.18063,0.010551,0.033818,4,,,
0.16912,0.16925,0.2191,0.22403,0.19287,0.19356,0.012733,0.01419,4,,,
0.24591,0.23319,0.31168,0.32428,0.27252,0.27233,0.01668,0.020128,4,,,
0.11217,0.16246,0.27963,0.23202,0.19935,0.19965,0.036286,0.01887,4,,,
0.074751,0.070865,0.13579,0.16306,0.10793,0.10833,0.017961,0.021487,4,,,
